outcome,photo_quality,item,retail_price,vacuum,towel_hook,age,gender,marital,employment
,0,knife_set_0,25,140,5,2,5,1,1
,0,knife_set_0,25,50,1,3,6,2,1
5,0,knife_set_0,25,100,2,3,5,2,2
,0,knife_set_0,25,100,5,3,5,2,1
,0,knife_set_0,25,40,2,3,5,2,1
10,0,knife_set_0,25,50,0,3,5,2,1
10,0,knife_set_0,25,30,1,3,6,2,1
10,0,knife_set_0,25,60,1,2,5,1,1
5,0,knife_set_0,25,30,1,3,6,1,1
20,0,knife_set_0,25,150,1,3,5,1,1
,0,knife_set_0,25,100,3,3,6,1,1
,0,knife_set_0,25,40,3,3,6,2,1
,0,knife_set_0,25,130,3,3,6,2,1
10,0,knife_set_0,25,30,1,3,5,1,1
,0,knife_set_0,25,110,3,3,5,1,1
,0,knife_set_0,25,90,2,1,5,1,2
,0,knife_set_0,25,50,5,1,5,1,2
5,0,knife_set_0,25,45,1,3,6,1,1
,0,knife_set_0,25,125,5,3,6,1,1
,0,knife_set_0,25,20,2,3,5,1,1
25,0,knife_set_0,25,100,3,3,5,1,1
5,0,knife_set_0,25,75,1,3,5,1,1
25,0,knife_set_0,25,50,5,3,5,2,1
25,0,knife_set_0,25,100,9,3,5,1,1
,0,knife_set_0,25,30,1,4,6,1,1
20,0,knife_set_0,25,75,3,3,6,1,2
,0,knife_set_0,25,100,3,3,6,1,1
10,0,knife_set_0,25,125,2,3,5,1,1
12,0,knife_set_0,25,40,1,3,6,1,1
,0,knife_set_0,25,125,1,3,5,1,1
,0,knife_set_0,25,40,0,3,6,1,1
,0,knife_set_0,25,150,4,3,6,1,1
,0,knife_set_0,25,100,2,3,5,1,1
25,0,knife_set_0,25,80,5,3,5,1,1
,0,knife_set_0,25,125,5,3,6,1,1
25,0,knife_set_0,25,150,4,3,6,1,1
6,0,knife_set_0,25,50,1,3,5,2,1
,0,knife_set_0,25,100,3,3,6,1,1
,0,knife_set_0,25,70,2,3,6,1,4
15,0,knife_set_0,25,50,3,3,5,1,1
5,0,knife_set_0,25,10,0,3,5,1,1
15,0,knife_set_0,25,120,0,3,5,1,1
,0,knife_set_0,25,80,2,3,6,1,1
10,0,knife_set_0,25,60,2,3,6,1,1
,0,knife_set_0,25,50,1,3,6,1,1
,0,knife_set_0,25,70,3,3,6,2,1
,0,knife_set_0,25,50,1,4,6,2,1
,0,knife_set_0,25,50,1,3,6,1,1
16,0,knife_set_0,25,50,3,2,6,1,1
,0,knife_set_0,25,140,4,3,6,1,1
,0,knife_set_0,25,90,5,3,5,1,1
10,0,knife_set_0,25,90,2,3,6,1,1
,0,knife_set_0,25,120,2,3,6,2,4
,0,knife_set_0,25,50,2,3,6,1,1
15,0,knife_set_0,25,50,2,3,6,1,1
15,0,knife_set_0,25,120,3,6,5,2,1
,0,knife_set_0,25,100,5,6,6,2,1
10,0,knife_set_0,25,60,1,5,5,2,1
,0,knife_set_0,25,100,4,3,6,2,1
,0,knife_set_0,25,125,3,3,5,1,1
,0,knife_set_0,25,80,3,3,6,2,1
10,0,knife_set_0,25,30,2,3,6,1,4
15,0,knife_set_0,25,80,2,3,5,2,1
20,0,knife_set_0,25,125,1,3,5,2,1
,0,knife_set_0,25,75,3,3,6,2,3
15,0,knife_set_0,25,45,2,3,6,2,5
12,0,knife_set_0,25,35,1,3,6,1,2
15,0,knife_set_0,25,70,2,3,6,1,1
19,0,knife_set_0,25,75,3,3,6,1,1
10,0,knife_set_0,25,50,2,3,6,3,5
,0,knife_set_0,25,100,3,2,5,1,1
5,0,knife_set_0,25,90,2,3,6,1,4
15,0,knife_set_0,25,100,5,3,5,1,1
20,0,knife_set_0,25,120,5,3,5,1,1
,0,knife_set_0,25,50,5,3,6,1,1
15,0,knife_set_0,25,100,5,3,6,2,1
10,0,knife_set_0,25,30,2,6,6,1,1
10,0,knife_set_0,25,95,1,5,5,2,1
,0,knife_set_0,25,35,3,3,6,2,4
,0,knife_set_0,25,120,5,3,5,2,1
16,0,knife_set_0,25,75,2,3,6,1,1
,0,knife_set_0,25,50,1,3,6,1,1
20,0,knife_set_0,25,50,3,3,6,1,1
20,0,knife_set_0,25,125,3,3,6,1,1
,0,knife_set_0,25,50,2,5,6,1,1
10,0,knife_set_0,25,50,1,2,5,1,1
7,0,knife_set_0,25,80,1,3,5,1,4
15,0,knife_set_0,25,110,4,2,6,1,1
,0,knife_set_0,25,100,4,2,6,1,1
,0,knife_set_0,25,85,4,3,6,2,1
